,Episode Rewards,episode
0,16.0,0
1,29.0,1
2,14.0,2
3,22.0,3
4,13.0,4
5,22.0,5
6,22.0,6
7,28.0,7
8,12.0,8
9,15.0,9
10,12.0,10
11,12.0,11
12,21.0,12
13,21.0,13
14,9.0,14
15,12.0,15
16,12.0,16
17,26.0,17
18,17.0,18
19,16.0,19
20,25.0,20
21,13.0,21
22,16.0,22
23,31.0,23
24,15.0,24
25,9.0,25
26,31.0,26
27,38.0,27
28,14.0,28
29,12.0,29
30,18.0,30
31,11.0,31
32,31.0,32
33,24.0,33
34,14.0,34
35,25.0,35
36,9.0,36
37,33.0,37
38,14.0,38
39,10.0,39
40,24.0,40
41,10.0,41
42,18.0,42
43,16.0,43
44,29.0,44
45,23.0,45
46,11.0,46
47,18.0,47
48,28.0,48
49,22.0,49
50,33.0,50
51,32.0,51
52,28.0,52
53,22.0,53
54,36.0,54
55,14.0,55
56,20.0,56
57,31.0,57
58,19.0,58
59,13.0,59
60,17.0,60
61,27.0,61
62,22.0,62
63,42.0,63
64,26.0,64
65,35.0,65
66,13.0,66
67,37.0,67
68,25.0,68
69,33.0,69
70,23.0,70
71,23.0,71
72,27.0,72
73,17.0,73
74,12.0,74
75,41.0,75
76,24.0,76
77,16.0,77
78,27.0,78
79,41.0,79
80,28.0,80
81,12.0,81
82,40.0,82
83,35.0,83
84,13.0,84
85,16.0,85
86,23.0,86
87,41.0,87
88,40.0,88
89,20.0,89
90,36.0,90
91,17.0,91
92,29.0,92
93,23.0,93
94,26.0,94
95,27.0,95
96,19.0,96
97,27.0,97
98,44.0,98
99,25.0,99
100,12.0,100
101,10.0,101
102,10.0,102
103,14.0,103
104,14.0,104
105,15.0,105
106,13.0,106
107,22.0,107
108,21.0,108
109,56.0,109
110,26.0,110
111,38.0,111
112,34.0,112
113,38.0,113
114,48.0,114
115,25.0,115
116,16.0,116
117,17.0,117
118,16.0,118
119,11.0,119
120,22.0,120
121,12.0,121
122,14.0,122
123,17.0,123
124,21.0,124
125,31.0,125
126,20.0,126
127,29.0,127
128,25.0,128
129,15.0,129
130,21.0,130
131,19.0,131
132,14.0,132
133,11.0,133
134,33.0,134
135,34.0,135
136,25.0,136
137,35.0,137
138,16.0,138
139,18.0,139
140,15.0,140
141,17.0,141
142,36.0,142
143,18.0,143
144,28.0,144
145,45.0,145
146,51.0,146
147,19.0,147
148,32.0,148
149,33.0,149
150,37.0,150
151,55.0,151
152,37.0,152
153,46.0,153
154,15.0,154
155,30.0,155
156,17.0,156
157,33.0,157
158,19.0,158
159,24.0,159
160,48.0,160
161,27.0,161
162,13.0,162
163,12.0,163
164,48.0,164
165,32.0,165
166,20.0,166
167,22.0,167
168,21.0,168
169,23.0,169
170,64.0,170
171,21.0,171
172,36.0,172
173,21.0,173
174,22.0,174
175,32.0,175
176,39.0,176
177,33.0,177
178,45.0,178
179,18.0,179
180,30.0,180
181,28.0,181
182,19.0,182
183,15.0,183
184,22.0,184
185,32.0,185
186,27.0,186
187,68.0,187
188,59.0,188
189,35.0,189
190,22.0,190
191,35.0,191
192,33.0,192
193,75.0,193
194,20.0,194
195,39.0,195
196,33.0,196
197,34.0,197
198,21.0,198
199,41.0,199
200,15.0,200
201,29.0,201
202,33.0,202
203,20.0,203
204,14.0,204
205,18.0,205
206,26.0,206
207,39.0,207
208,35.0,208
209,63.0,209
210,29.0,210
211,25.0,211
212,28.0,212
213,13.0,213
214,32.0,214
215,22.0,215
216,30.0,216
217,57.0,217
218,32.0,218
219,48.0,219
220,34.0,220
221,39.0,221
222,47.0,222
223,77.0,223
224,24.0,224
225,32.0,225
226,32.0,226
227,20.0,227
228,30.0,228
229,13.0,229
230,19.0,230
231,36.0,231
232,16.0,232
233,28.0,233
234,19.0,234
235,45.0,235
236,25.0,236
237,33.0,237
238,41.0,238
239,47.0,239
240,47.0,240
241,33.0,241
242,56.0,242
243,22.0,243
244,25.0,244
245,34.0,245
246,59.0,246
247,17.0,247
248,60.0,248
249,20.0,249
250,42.0,250
251,19.0,251
252,26.0,252
253,28.0,253
254,73.0,254
255,35.0,255
256,46.0,256
257,72.0,257
258,56.0,258
259,18.0,259
260,23.0,260
261,59.0,261
262,96.0,262
263,35.0,263
264,49.0,264
265,78.0,265
266,54.0,266
267,47.0,267
268,34.0,268
269,22.0,269
270,35.0,270
271,45.0,271
272,35.0,272
273,39.0,273
274,52.0,274
275,39.0,275
276,57.0,276
277,61.0,277
278,28.0,278
279,28.0,279
280,43.0,280
281,64.0,281
282,39.0,282
283,79.0,283
284,35.0,284
285,16.0,285
286,20.0,286
287,37.0,287
288,46.0,288
289,30.0,289
290,73.0,290
291,25.0,291
292,24.0,292
293,24.0,293
294,29.0,294
295,44.0,295
296,26.0,296
297,20.0,297
298,36.0,298
299,33.0,299
300,35.0,300
301,57.0,301
302,18.0,302
303,66.0,303
304,62.0,304
305,40.0,305
306,56.0,306
307,66.0,307
308,60.0,308
309,51.0,309
310,44.0,310
311,48.0,311
312,19.0,312
313,30.0,313
314,21.0,314
315,29.0,315
316,62.0,316
317,51.0,317
318,73.0,318
319,22.0,319
320,89.0,320
321,70.0,321
322,46.0,322
323,30.0,323
324,86.0,324
325,24.0,325
326,66.0,326
327,38.0,327
328,62.0,328
329,36.0,329
330,94.0,330
331,54.0,331
332,142.0,332
333,118.0,333
334,111.0,334
335,44.0,335
336,55.0,336
337,65.0,337
338,26.0,338
339,111.0,339
340,38.0,340
341,38.0,341
342,43.0,342
343,82.0,343
344,77.0,344
345,37.0,345
346,26.0,346
347,28.0,347
348,83.0,348
349,29.0,349
350,35.0,350
351,25.0,351
352,110.0,352
353,88.0,353
354,21.0,354
355,30.0,355
356,73.0,356
357,47.0,357
358,136.0,358
359,49.0,359
360,119.0,360
361,34.0,361
362,163.0,362
363,82.0,363
364,62.0,364
365,122.0,365
366,37.0,366
367,53.0,367
368,75.0,368
369,52.0,369
370,54.0,370
371,23.0,371
372,16.0,372
373,154.0,373
374,34.0,374
375,135.0,375
376,78.0,376
377,21.0,377
378,91.0,378
379,35.0,379
380,106.0,380
381,60.0,381
382,68.0,382
383,30.0,383
384,44.0,384
385,47.0,385
386,68.0,386
387,79.0,387
388,44.0,388
389,50.0,389
390,61.0,390
391,36.0,391
392,25.0,392
393,86.0,393
394,32.0,394
395,43.0,395
396,79.0,396
397,132.0,397
398,127.0,398
399,53.0,399
400,47.0,400
401,177.0,401
402,58.0,402
403,62.0,403
404,115.0,404
405,91.0,405
406,112.0,406
407,104.0,407
408,46.0,408
409,53.0,409
410,46.0,410
411,63.0,411
412,87.0,412
413,75.0,413
414,69.0,414
415,104.0,415
416,98.0,416
417,166.0,417
418,44.0,418
419,82.0,419
420,49.0,420
421,87.0,421
422,77.0,422
423,90.0,423
424,97.0,424
425,106.0,425
426,28.0,426
427,59.0,427
428,301.0,428
429,109.0,429
430,80.0,430
431,50.0,431
432,109.0,432
433,103.0,433
434,79.0,434
435,72.0,435
436,61.0,436
437,202.0,437
438,78.0,438
439,56.0,439
440,52.0,440
441,125.0,441
442,73.0,442
443,19.0,443
444,118.0,444
445,72.0,445
446,113.0,446
447,122.0,447
448,133.0,448
449,83.0,449
450,223.0,450
451,122.0,451
452,79.0,452
453,74.0,453
454,170.0,454
455,207.0,455
456,115.0,456
457,184.0,457
458,134.0,458
459,183.0,459
460,158.0,460
461,158.0,461
462,71.0,462
463,105.0,463
464,215.0,464
465,157.0,465
466,203.0,466
467,90.0,467
468,85.0,468
469,31.0,469
470,60.0,470
471,226.0,471
472,230.0,472
473,179.0,473
474,97.0,474
475,154.0,475
476,189.0,476
477,134.0,477
478,160.0,478
479,109.0,479
480,169.0,480
481,267.0,481
482,161.0,482
483,152.0,483
484,228.0,484
485,95.0,485
486,135.0,486
487,247.0,487
488,233.0,488
489,275.0,489
490,223.0,490
491,318.0,491
492,210.0,492
493,280.0,493
494,275.0,494
495,281.0,495
496,496.0,496
497,200.0,497
498,380.0,498
499,362.0,499
500,387.0,500
501,461.0,501
502,341.0,502
503,315.0,503
504,500.0,504
505,159.0,505
506,330.0,506
507,194.0,507
508,233.0,508
509,281.0,509
510,250.0,510
511,362.0,511
512,277.0,512
513,423.0,513
514,283.0,514
515,435.0,515
516,186.0,516
517,500.0,517
518,343.0,518
519,375.0,519
520,164.0,520
521,500.0,521
522,114.0,522
523,302.0,523
524,381.0,524
525,260.0,525
526,500.0,526
527,195.0,527
528,426.0,528
529,486.0,529
530,324.0,530
531,500.0,531
532,500.0,532
533,326.0,533
534,101.0,534
535,374.0,535
536,154.0,536
537,223.0,537
538,327.0,538
539,267.0,539
540,115.0,540
541,500.0,541
542,298.0,542
543,107.0,543
544,93.0,544
545,328.0,545
546,385.0,546
547,246.0,547
548,170.0,548
549,500.0,549
550,268.0,550
551,246.0,551
552,282.0,552
553,109.0,553
554,469.0,554
555,226.0,555
556,126.0,556
557,382.0,557
558,300.0,558
559,248.0,559
560,418.0,560
561,339.0,561
562,304.0,562
563,290.0,563
564,337.0,564
565,164.0,565
566,254.0,566
567,424.0,567
568,396.0,568
569,268.0,569
570,280.0,570
571,183.0,571
572,290.0,572
573,382.0,573
574,307.0,574
575,256.0,575
576,236.0,576
577,272.0,577
578,178.0,578
579,171.0,579
580,203.0,580
581,153.0,581
582,172.0,582
583,172.0,583
584,248.0,584
585,281.0,585
586,241.0,586
587,253.0,587
588,448.0,588
589,356.0,589
590,248.0,590
591,348.0,591
592,330.0,592
593,271.0,593
594,345.0,594
595,300.0,595
596,346.0,596
597,321.0,597
598,272.0,598
599,303.0,599
600,355.0,600
601,380.0,601
602,287.0,602
603,400.0,603
604,446.0,604
605,500.0,605
606,498.0,606
607,470.0,607
608,499.0,608
609,340.0,609
610,337.0,610
611,430.0,611
612,464.0,612
613,246.0,613
614,448.0,614
615,500.0,615
616,415.0,616
617,500.0,617
618,431.0,618
619,488.0,619
620,412.0,620
621,497.0,621
622,500.0,622
623,500.0,623
624,349.0,624
625,294.0,625
626,500.0,626
627,384.0,627
628,500.0,628
629,500.0,629
630,286.0,630
631,500.0,631
632,148.0,632
633,500.0,633
634,500.0,634
635,374.0,635
636,244.0,636
637,371.0,637
638,500.0,638
639,500.0,639
640,435.0,640
641,500.0,641
642,500.0,642
643,500.0,643
644,161.0,644
645,500.0,645
646,430.0,646
647,500.0,647
648,500.0,648
649,254.0,649
650,500.0,650
651,500.0,651
652,500.0,652
653,182.0,653
654,475.0,654
655,410.0,655
656,500.0,656
657,362.0,657
658,370.0,658
659,363.0,659
660,367.0,660
661,398.0,661
662,380.0,662
663,417.0,663
664,422.0,664
665,141.0,665
666,451.0,666
667,432.0,667
668,128.0,668
669,425.0,669
670,363.0,670
671,359.0,671
672,339.0,672
673,397.0,673
674,420.0,674
675,370.0,675
676,138.0,676
677,244.0,677
678,248.0,678
679,202.0,679
680,139.0,680
681,486.0,681
682,79.0,682
683,494.0,683
684,125.0,684
685,449.0,685
686,443.0,686
687,500.0,687
688,394.0,688
689,454.0,689
690,500.0,690
691,302.0,691
692,339.0,692
693,423.0,693
694,467.0,694
695,497.0,695
696,482.0,696
697,500.0,697
698,500.0,698
699,500.0,699
700,500.0,700
701,156.0,701
702,235.0,702
703,474.0,703
704,129.0,704
705,491.0,705
706,372.0,706
707,274.0,707
708,208.0,708
709,364.0,709
710,500.0,710
711,422.0,711
712,500.0,712
713,500.0,713
714,221.0,714
715,500.0,715
716,500.0,716
717,500.0,717
718,167.0,718
719,500.0,719
720,426.0,720
721,500.0,721
722,360.0,722
723,335.0,723
724,192.0,724
725,217.0,725
726,500.0,726
727,500.0,727
728,493.0,728
729,500.0,729
730,500.0,730
731,187.0,731
732,500.0,732
733,178.0,733
734,442.0,734
735,430.0,735
736,313.0,736
737,379.0,737
738,182.0,738
739,500.0,739
740,284.0,740
741,306.0,741
742,316.0,742
743,473.0,743
744,362.0,744
745,500.0,745
746,445.0,746
747,287.0,747
748,500.0,748
749,428.0,749
750,229.0,750
751,186.0,751
752,272.0,752
753,402.0,753
754,500.0,754
755,500.0,755
756,247.0,756
757,489.0,757
758,500.0,758
759,500.0,759
760,500.0,760
761,500.0,761
762,500.0,762
763,500.0,763
764,454.0,764
765,500.0,765
766,500.0,766
767,412.0,767
768,500.0,768
769,500.0,769
770,500.0,770
771,232.0,771
772,500.0,772
773,500.0,773
774,500.0,774
775,282.0,775
776,473.0,776
777,500.0,777
778,500.0,778
779,270.0,779
780,456.0,780
781,500.0,781
782,191.0,782
783,297.0,783
784,500.0,784
785,500.0,785
786,408.0,786
787,500.0,787
788,457.0,788
789,500.0,789
790,500.0,790
791,412.0,791
792,351.0,792
793,189.0,793
794,500.0,794
795,426.0,795
796,500.0,796
797,436.0,797
798,500.0,798
799,500.0,799
800,358.0,800
801,365.0,801
802,320.0,802
803,500.0,803
804,316.0,804
805,500.0,805
806,500.0,806
807,430.0,807
808,500.0,808
809,500.0,809
810,500.0,810
811,500.0,811
812,500.0,812
813,500.0,813
814,500.0,814
815,500.0,815
816,500.0,816
817,500.0,817
818,500.0,818
819,500.0,819
820,500.0,820
821,500.0,821
822,500.0,822
823,500.0,823
824,472.0,824
825,500.0,825
826,500.0,826
827,500.0,827
828,500.0,828
829,500.0,829
830,500.0,830
831,500.0,831
832,500.0,832
833,500.0,833
834,500.0,834
835,500.0,835
836,500.0,836
837,500.0,837
838,500.0,838
839,500.0,839
840,500.0,840
841,500.0,841
842,500.0,842
843,500.0,843
844,500.0,844
845,500.0,845
846,500.0,846
847,500.0,847
848,500.0,848
849,500.0,849
850,500.0,850
851,500.0,851
852,500.0,852
853,500.0,853
854,500.0,854
855,500.0,855
856,500.0,856
857,500.0,857
858,500.0,858
859,500.0,859
860,500.0,860
861,500.0,861
862,500.0,862
863,500.0,863
864,500.0,864
865,500.0,865
866,500.0,866
867,500.0,867
868,500.0,868
869,500.0,869
870,500.0,870
871,425.0,871
872,500.0,872
873,500.0,873
874,500.0,874
